arrived_at,num_prefill_tokens,num_decode_tokens,prefill_inflated,decode_inflated
0.0,115,372,0,0
0.001245536887719514,12,3590,0,1
0.002431599202667492,138,95,0,0
0.011363399681032692,199,72,0,0
0.011540274877298801,296,505,0,0
0.023907599286646927,2690,326,0,0
0.02656777932008564,252,767,0,0
0.1343435237964281,2085,13,0,0
0.2566520472911373,14,577,0,0
0.5488316575272734,13,217,0,0
0.6325779988983339,9,56,0,0
0.6488068842504547,51,292,0,0
0.7495365383818111,260,224,1,0
1.115969126863512,5,149,0,0
1.1208516552203587,12,391,0,0
1.1820153964332294,8,194,0,0
1.1985839179842657,8,395,0,0
1.5200479652327261,42,48,0,0
1.5234319780124337,908,196,0,0
1.5333045365084543,19,213,0,0
1.5705499736611905,7,7,0,0
1.600787168764279,640,297,1,0
1.601466909607438,39,130,0,0
1.6385500608819432,19,475,0,0
1.6527872409779192,90,159,1,0
1.663958636722609,34,218,0,0
1.6771854877793773,13,73,0,0
1.7051460679898076,1572,255,0,0
1.705623210979404,17,388,0,0
2.108159557394308,15,121,0,0
2.1113814498686443,10,195,0,0
2.111585399247675,575,107,0,0
2.1269014794601535,43,364,0,0
2.4597918084920107,9,255,0,0
2.4661876647196164,9,2700,0,1
2.867766353125578,9,360,0,0
3.27392192188643,90,157,1,0
3.2771355110249756,158,96,0,0
3.2772658796359155,72,130,0,0
3.278791630631287,133,125,0,0
3.4727641902022564,698,110,0,0
3.476287172629009,30,220,0,0
3.4771665837976133,13,1870,0,1
3.4784095031268008,32,768,0,0
3.4964607100280816,8,253,0,0
3.5135873525113612,7,299,0,0
3.6168155542379012,17,157,0,0
3.7472606217284787,8,33,0,0
3.750057081398119,23,3250,0,1
3.7632454445452095,370,289,0,0
3.765113658677922,5,178,0,0
3.7859486448786748,25,491,0,0
3.7877555881449583,11,701,0,0
3.78939174342403,41,144,0,0
5.050436875901146,7,310,0,0
5.069689166297617,45,714,0,0
5.135003367123973,3289,95,0,0
8.025110977234345,25,192,0,0
8.111991155306848,25,343,0,0
8.126352885661216,248,274,0,0
8.146479281141355,22,243,0,0
8.150550198316315,5,63,0,0
