arrived_at,num_prefill_tokens,num_decode_tokens,prefill_inflated,decode_inflated
0.0,239,537,0,0
0.03279720615158262,12,278,0,0
0.0432260618212322,9,718,0,0
0.046265487514628945,262,40,0,0
0.053533702196803784,1149,206,0,0
0.05601692975412016,952,65,0,0
0.07636812131703791,766,770,0,0
0.33966514158008826,4210,632,1,0
0.3464076985228008,7669,523,1,0
0.35162459384349254,1049,243,0,0
0.39968873335755856,140,219,0,0
0.4365302830048072,1783,470,0,0
0.4588100900915127,1419,302,0,0
0.46161652838742495,1071,160,0,0
0.4786358389274549,772,18,0,0
0.5511265657190034,369,288,0,0
0.5523533829073424,230,216,0,0
0.5595789139814176,1632,106,0,0
0.5599816019770946,14,336,0,0
0.5613501861826298,811,382,0,0
0.5618037506714151,15,374,0,0
0.5730796765098427,142,45,0,0
0.5745100839051949,279,593,0,0
0.6055533209490194,231,126,0,0
0.6302422377812779,201,326,0,0
0.6426582924830551,669,3680,0,1
0.6427758688572738,851,474,0,0
0.6489198103107698,571,334,0,0
0.6652963592316782,1097,291,0,0
0.6879307446897789,1657,79,0,0
0.6887765895871957,7985,207,1,0
0.6957168944809548,672,71,0,0
0.698266182475424,418,240,0,0
0.7018455201621471,1044,16,0,0
0.8524488619900674,1353,85,0,0
0.8560375364667773,1405,79,0,0
0.8729459078693516,1780,354,0,0
0.9787545281466479,1372,247,0,0
0.9843707063239807,1289,473,0,0
0.9988027120383508,645,254,0,0
1.0213086806337484,1673,640,0,0
1.0418084945111088,756,100,0,0
1.043365462924185,671,2650,0,1
1.064378282746517,781,757,0,0
1.337658881591852,11,318,0,0
1.338476436593789,1498,546,0,0
1.4391232643970642,939,422,0,0
1.4620329622933084,951,447,0,0
1.467035330642996,1565,123,0,0
2.453063921628287,1013,184,0,0
2.5359420903401713,161,265,0,0
2.537581398754358,1705,409,0,0
2.5585260795881624,125,64,0,0
2.6157076371288808,1513,105,0,0
2.6280778080999636,503,326,0,0
2.6987938743740756,1799,369,0,0
2.714590835980368,1208,149,0,0
2.7831260290043396,2139,59,0,0
3.1036308895491556,7877,315,1,0
3.1083026116243597,1008,2740,0,1
3.1353916586994974,1051,299,0,0
3.142535403390279,92,69,0,0
3.165810618864905,1017,375,0,0
3.167490063564364,1091,123,0,0
3.1731547359722936,11,236,0,0
3.1853428389821388,1262,469,0,0
3.294237391145633,1656,559,0,0
3.4725068596138065,611,131,0,0
3.4737854991795714,1235,127,0,0
3.477467909537974,414,233,0,0
3.543270493242507,1834,262,0,0
3.5436060422333315,1216,366,0,0
3.550751754747916,1632,250,0,0
3.5656058916705295,1627,550,0,1
3.78854132948465,157,116,0,0
3.860181793884494,101,578,0,0
3.869560346239903,784,770,0,0
3.8781942821163438,165,17,0,0
3.889134672248187,568,172,0,0
4.2690358116302525,1199,310,0,0
4.276701868407433,1185,29,0,0
4.286532384963435,399,220,0,0
4.323058606210873,1115,19,0,0
4.337231218188956,693,249,0,0
4.34939282251458,184,176,0,0
4.351336764712737,1200,264,0,0
4.3689704202482185,722,223,0,0
4.376401638524533,664,698,0,0
4.562282847975934,524,508,0,0
4.628904475594143,1653,706,0,0
4.646098553769726,7,299,0,0
4.7147892871595145,1039,318,0,0
4.723933426410172,427,218,0,0
4.871917547088489,32,435,0,0
4.889768432985819,1806,204,0,0
4.947720542231219,1135,312,0,0
4.949085421214532,13,292,0,0
4.985182514951494,698,2890,0,1
4.985799101871843,1155,409,0,0
4.9861070556336005,774,767,0,0
4.995921924852429,377,215,0,0
4.998905126324222,138,198,0,0
5.0239572311721,428,327,0,0
6.631344798999229,320,742,0,0
6.634763996571711,7886,306,1,0
6.639944825589716,1401,100,0,0
6.667156882682905,1014,207,0,0
6.715526836945691,1646,191,0,0
6.728207016719178,548,20,0,0
6.7401601279428105,893,508,0,0
6.813696354908691,1172,3570,0,1
6.8647393098769935,10,44,0,0
6.867022333224772,1206,114,0,0
6.882424213861138,160,172,0,0
6.901788412995446,659,28,0,0
6.903978372416246,33,268,0,0
6.934320298638631,545,97,0,0
6.937564727419418,1724,123,0,0
7.063653433312544,1327,315,0,0
7.090185235171955,7,97,0,0
7.11175872482398,3740,370,1,0
7.117292086632102,655,224,0,0
7.131526074416594,12,143,0,0
7.131858067770914,771,125,0,0
7.133735748419019,1332,3700,0,1
7.171018539565259,13,116,0,0
7.1712741037150876,683,115,0,0
7.2693821418512945,68,275,0,0
7.269931315442428,292,749,0,0
7.351899343030531,1276,373,0,0
7.355225635105769,120,562,0,0
7.440924058370628,144,118,0,0
7.464371342518826,143,236,0,0
7.465205930073932,36,29,0,0
7.684661491319573,1762,287,0,0
8.007214202849752,472,267,0,0
8.023033688456577,322,767,0,0
8.033467166868686,582,684,0,0
8.046573798408062,1367,154,0,0
8.049140309982654,383,319,0,0
8.211534358168445,2060,265,1,0
8.217626918414199,217,47,0,0
8.233915615436421,894,267,0,0
8.237607951923625,822,337,0,0
