arrived_at,num_prefill_tokens,num_decode_tokens,prefill_inflated,decode_inflated
0.0,86,293,0,0
0.6300724835830342,401,30,0,0
0.6301817756552819,1545,120,0,0
0.6438752875411348,639,282,0,0
0.7809177847794757,415,246,0,0
1.0505707745190196,1447,490,0,0
1.1172857219528174,7725,467,1,0
1.4776401118515778,596,210,0,0
1.5098659140174537,135,767,0,0
1.5642127568312127,1479,338,0,0
1.5900115479141923,647,213,0,0
1.5921182734335177,487,338,0,0
1.5954370437441816,1364,393,0,0
1.6339895360994396,907,59,0,0
1.6396440935884633,874,1830,0,1
1.869156023734499,495,405,0,0
2.10843387762381,1143,581,0,0
2.7672371302046135,92,69,0,0
2.7843649594746456,423,360,0,0
3.071591651328041,256,327,0,0
3.074539766309559,106,3510,0,1
3.0780659733450175,1357,22,0,0
3.0992968882782224,657,525,0,0
3.130977786878641,1105,316,0,0
3.131714818565524,1085,349,0,0
3.1322811384912246,920,19,0,0
3.1689896652474245,446,58,0,0
3.172206751671776,7,201,0,0
3.374469253495371,11,198,0,0
3.4141928210377173,8,264,0,0
3.4475482810341567,778,483,0,0
3.4749262192597667,1511,260,0,0
3.5831068614745574,1290,416,0,0
3.596393514076744,1838,55,0,0
3.7546337308264723,589,767,0,0
3.760936717645636,11,236,0,0
3.772442581707093,133,28,0,0
3.777069272439365,2220,169,1,0
3.8367002992570387,489,9,0,0
3.856087648458863,3855,244,0,0
3.8593042267259907,787,90,0,0
4.84822294637209,18,373,0,0
4.856941245815642,88,407,0,0
4.871241148203115,1150,49,0,0
4.910934424214622,755,312,0,0
5.5056921160547665,1668,548,0,0
5.519103246489136,274,97,0,0
5.592745484891542,1122,114,0,0
5.614732299411922,1045,616,0,0
5.615698160674806,379,235,0,0
5.703651529838828,566,262,0,0
5.842603845871011,454,185,0,0
5.853769915779776,697,172,0,0
5.871266043508568,492,280,0,0
5.872162074740597,682,180,0,0
5.873020160113218,780,768,1,0
5.881266853965754,1192,92,0,0
5.944366743024151,441,5310,0,1
5.951421506411205,370,269,0,0
5.983780694887537,27,410,0,0
6.1087898477950615,522,7670,0,1
6.130643696478977,955,386,0,0
6.187571790919886,871,531,0,0
6.514127080160459,518,125,0,0
6.515620092851174,1123,492,0,0
6.595538196684014,1238,222,0,0
6.595954426825704,548,501,0,0
6.6387372810693135,10,767,0,0
6.665818529302566,377,276,0,0
6.671905695954804,1876,144,0,0
6.673997916918954,331,18,0,0
6.689943631946847,1415,2920,0,1
6.697887298403843,1106,187,0,0
6.719822559796016,769,555,0,0
6.722759148998829,1793,554,0,0
6.776485679439422,1298,60,0,0
6.778758795867038,270,88,0,0
6.788578408849522,918,75,0,0
6.796817385537832,863,176,0,0
7.024653652135565,15,261,0,0
7.025559815791098,44,359,0,0
7.0334435730672515,1476,100,0,0
7.225496997629805,1426,23,0,0
7.230333393470851,517,305,0,0
7.231846114446494,407,509,0,0
7.263616520697161,380,320,0,0
7.27371910681752,15,399,0,0
7.369528631636888,614,382,0,0
7.372392209823474,349,542,0,0
7.3988272573941565,613,45,0,0
7.467209070210669,778,82,0,0
7.610416758070476,1374,28,0,0
7.612391744996293,490,565,0,0
7.923589876398431,427,83,0,0
7.9265684929601505,424,114,0,0
7.9274446159149345,837,185,0,0
7.930118985949196,407,202,0,0
7.954714174272521,1106,184,0,0
7.964195119897418,1032,288,0,0
8.007738753037252,474,124,0,0
8.056359912303176,218,199,0,0
8.090454588902537,294,138,0,0
8.101300589998054,3980,392,1,0
8.780563477586174,1271,469,0,0
8.780778027080782,1101,318,0,0
8.781340256198835,9,32,0,0
8.787887736926107,1466,429,0,0
8.789353561181764,702,612,0,0
8.789462279122937,14,28,0,0
8.79314155223379,1155,69,0,0
8.79717382461287,332,282,0,0
8.797308586426338,1225,355,0,0
8.897816667842255,344,71,0,0
9.140334777824116,500,281,0,0
9.353369356386734,278,429,0,0
9.359897815102787,1510,42,0,0
9.384139570883743,8,313,0,0
9.386057472703262,1591,53,0,0
9.413325827906366,1775,299,0,0
9.418011463382317,136,170,0,0
9.458972393655404,1490,472,0,0
9.468059964890355,426,305,0,0
9.610706119024083,77,52,0,0
9.704967140113315,117,200,0,0
9.919989424705667,1065,580,0,0
9.920717217252706,1738,204,0,0
9.921191305323733,1922,2850,0,1
9.961733241672853,348,307,0,0
9.967422226978668,13,290,0,0
10.007407454608362,22,282,0,0
10.04021353829906,3210,206,1,0
10.066088664478755,1268,232,0,0
10.179538337543967,8081,111,1,0
10.23446974589172,177,58,0,0
10.28089039140645,1652,374,0,0
10.28391025759884,834,385,0,0
10.851945145524345,1710,156,0,0
10.875189899461555,914,176,0,0
11.040355870456365,785,541,0,0
11.075064436187317,514,196,0,0
11.303575160603337,1159,27,0,0
11.328105799787323,397,598,0,0
11.355990372575963,172,338,0,0
11.379761673551895,681,59,0,0
11.384134867316996,1840,26,1,0
11.389882679598971,1302,311,0,0
11.403332349891002,1289,552,0,0
11.417612770184823,1525,28,0,0
11.420140859057842,11,403,0,0
13.430334118586195,1015,304,0,0
13.432868910242297,19,437,0,0
13.442653953478452,563,165,0,0
15.843140895284296,49,658,0,0
15.847964282485503,809,24,0,0
15.931454442489418,1096,159,0,0
15.999122882988122,8,208,0,0
16.011026127137548,1618,28,0,0
16.01206174084291,1575,358,0,0
16.012869738187938,987,416,0,0
16.030630965213756,1680,570,0,0
16.07249739971844,1549,770,0,0
16.072739262029554,1620,125,1,0
16.097236209592037,1693,650,0,0
16.102113579715407,1468,712,0,0
16.210235574564397,1452,323,0,0
16.2359120621067,1760,543,0,0
16.23954481449042,730,372,0,0
16.247280018369626,1171,395,0,0
16.2671621718272,996,767,0,0
16.535563965954456,19,330,0,0
24.596715624684244,236,198,0,0
24.634265995087752,670,79,0,0
24.657670087522792,1025,134,0,0
24.732729405935455,1897,762,0,0
24.752509963843234,442,170,0,0
24.827226997281993,1605,172,0,0
24.873333339031806,1724,48,0,0
24.894827145754853,1808,180,0,0
24.899219709009056,449,30,0,0
24.928953405262828,596,48,0,0
25.060787501266,5680,155,1,0
25.086033460471352,250,149,0,0
25.535921570517495,730,382,0,0
25.679597695568383,644,431,0,0
25.696431120550063,10,238,0,0
26.40585168534354,440,26,0,0
26.40816913753928,540,309,0,0
26.63738249304297,1638,481,0,0
27.542188451341076,311,119,0,0
27.5555318804995,930,297,1,0
27.573641848707627,1493,150,0,0
27.71923503863503,972,250,0,0
28.111270176992026,8,358,0,0
28.165787774476637,1037,231,0,0
28.202495562485662,414,260,0,0
28.34515231885006,656,567,0,0
28.38359790695671,320,173,0,0
28.38563951639071,1820,324,0,0
28.401357975588922,361,187,0,0
28.423584241321727,100,14,0,0
28.42472478960323,285,353,0,0
28.47563632655624,16,171,0,0
28.48082482076896,1740,2030,0,1
28.581875066272858,711,178,0,0
28.583037886368754,300,670,0,1
28.586726793282057,1377,471,0,0
28.58796476614742,13,214,0,0
28.886028157885494,148,356,0,0
29.177925515544025,553,534,0,0
29.60857004357744,17,286,0,0
30.04530217851402,1287,565,0,0
30.184622778025094,1929,513,0,0
30.321193862481156,163,110,0,0
30.321957922805343,1098,621,0,0
30.366042140977534,1571,266,0,0
30.374444543270513,251,263,0,0
30.386461247063124,765,82,0,0
30.388419414929857,382,384,0,0
30.704587532142032,759,196,0,0
30.735998170647765,715,133,0,0
30.73716838727226,1011,435,0,0
30.80026688612876,15,452,0,0
30.819465361219024,769,579,0,0
30.82218881462327,622,364,0,0
30.833935616441284,423,115,0,0
30.83838027553712,1271,247,0,0
30.838587852661483,23,245,0,0
30.839534988878604,529,116,0,0
30.893328574314662,1788,57,0,0
30.93137372297865,347,6520,0,1
30.96357513892228,1548,48,0,0
30.965324642999537,1239,187,0,0
30.97081970801879,7985,207,1,0
30.99139783705001,207,253,0,0
31.06321162675438,348,720,0,0
31.066554491968926,1503,299,0,0
31.068720641334373,1311,213,0,0
31.24506883265543,1572,676,0,0
31.265682718930456,1509,720,0,0
31.274105967251657,931,302,0,0
31.278212204420278,1347,62,0,0
31.28305552638774,299,144,0,0
31.712315655432192,351,330,0,0
31.837728298004734,662,219,0,0
31.84555319900494,1480,491,0,0
31.847022960554366,34,166,0,0
32.35979276602722,1672,305,0,0
32.77690199638266,1409,266,0,0
32.97746791824363,3465,224,0,0
33.074587648464565,319,23,0,0
33.07500187927557,1300,277,0,0
33.07636614050519,202,390,0,0
33.13221956414798,374,338,0,0
33.14242603471667,13,242,0,0
33.17250370365498,272,253,0,0
33.17881257812985,355,381,0,0
33.18366186502014,509,435,0,0
33.23823455412714,1089,186,0,0
33.2463314397296,1574,640,0,0
33.26427716564565,1216,506,0,0
33.29434933211277,1474,504,0,0
33.32302786529912,1237,445,0,0
33.5061430759529,908,166,0,0
33.78463897231829,267,51,0,0
33.78580775921966,505,528,0,0
33.79633426462995,209,108,0,0
33.80126353744294,170,102,0,0
33.88266774328305,1086,233,0,0
33.8847896250896,134,453,0,0
33.96950495573991,854,767,0,0
34.042441940924135,1908,339,0,0
34.09950641118762,1867,420,0,0
34.10206829667412,1301,261,0,0
34.11374363109556,740,767,0,0
34.11581077258516,1042,5980,0,1
34.155483548227835,346,338,0,0
34.27663031971197,265,146,0,0
34.27748671586844,1039,3180,0,1
34.28091780207089,677,115,0,0
34.2938515808476,1626,16,0,0
34.30005045718392,937,314,0,0
34.655336152958945,1232,206,0,0
34.66874771219427,9,26,0,0
34.698475538025335,296,377,0,0
34.70041708498205,45,226,0,0
35.09318363869519,513,768,0,0
35.11817560413868,1361,124,0,0
35.20253386457096,1349,54,0,0
35.22388500003457,1163,209,0,0
35.22414316947587,605,492,0,0
35.2248777722725,1750,589,0,0
35.226243263872306,1229,323,0,0
35.27232107179031,302,227,0,0
35.27879962820124,159,170,0,0
35.32113096185337,348,272,0,0
35.35302458302618,761,355,0,0
35.38262469402874,116,122,0,0
35.495597539557785,1120,78,0,0
35.52148940092578,122,456,0,0
35.52216344172034,409,183,0,0
35.52678676031665,2861,1010,0,1
36.025178556893664,395,288,0,0
36.02728609866046,1679,68,0,0
36.30230724237028,1289,465,0,0
36.79391952803728,1506,673,0,0
36.79940794955822,1007,20,0,0
36.835329949919334,336,221,0,0
36.83642202490369,252,253,0,0
36.920977930286746,6,23,0,0
36.92478628617736,348,111,0,0
36.92609881335513,1533,643,0,0
36.93432049702296,929,178,0,0
36.94154932274895,98,219,0,0
36.947146190785396,1584,432,0,0
36.97386527670479,253,309,0,0
36.98673500270438,24,430,0,0
36.99152194308958,636,545,0,0
37.11187731017954,1447,490,0,0
39.40089942688086,1927,581,0,0
39.42145102303895,900,107,0,0
39.42586177735489,271,246,0,0
39.428339406759086,1090,151,0,0
39.48705871747907,7,182,0,0
39.49786085421358,647,155,0,0
39.51645721671628,1329,345,0,0
39.5167912335155,13,203,0,0
39.51866644982108,658,175,0,0
39.520431812237746,1206,100,0,0
39.63955859476689,897,1600,0,1
39.650066866328466,603,319,0,0
39.650192020309554,1413,27,0,0
39.69749844886126,118,156,0,0
39.8712886365228,7660,331,1,0
40.116272697814736,538,4,0,0
40.11633918064955,216,497,0,0
40.140830811800065,7865,327,1,0
40.23223063772459,724,316,0,0
40.292820988367204,1186,416,0,0
40.30407633027185,348,428,0,0
40.30456806045828,1314,273,0,0
40.312148978022755,29,435,0,0
40.32159811915372,1591,721,0,0
40.37845828991749,1817,214,0,0
40.44332287919695,1162,7030,0,1
40.45442948673702,734,356,0,0
40.55263409132886,781,487,0,0
40.55481472056186,1276,646,0,0
40.55942172031526,38,195,0,0
40.57637994898975,946,27,0,0
40.63320828527296,358,284,0,0
40.64268225358407,417,342,0,0
40.85416553014893,250,264,0,0
40.89521041573765,1739,334,0,0
40.897913952022336,941,357,0,0
40.91932759063664,684,99,0,0
40.922385846449124,252,35,0,0
40.92501779513499,1774,55,0,0
40.92605658606504,11,224,0,0
41.22135736733829,797,597,0,0
41.33259628192743,1327,66,0,0
41.333330974796965,1223,346,0,0
41.500446162878056,10,221,0,0
41.6237641401078,6,100,0,0
41.63248872525469,971,392,0,0
41.68224965007093,1301,312,0,0
43.29030507506598,120,375,1,0
43.322291582791074,1862,652,0,0
43.36424872303597,1488,390,0,0
43.534548415148365,580,354,0,0
43.53682694596573,1778,579,0,0
43.53826171900756,746,606,0,0
43.539338560893896,1179,141,0,0
43.55480247173818,1561,279,0,0
43.65817911727259,196,99,0,0
43.66141838206272,24,767,0,0
43.66258543120838,290,311,0,0
43.690449553340066,30,726,0,0
43.69942078277485,1352,606,0,0
43.762999299258446,1767,126,0,0
43.77782742416961,1300,478,0,0
43.79122467649695,106,25,0,0
43.80767227643415,1353,23,0,0
43.82865834332941,1832,90,0,0
43.83151122272399,1041,11,0,0
43.83358518069112,605,432,0,0
44.30539277269834,966,261,0,0
53.821739237742705,614,642,0,0
54.00737583898977,1281,167,0,0
54.00813626104017,7850,342,1,0
54.029224353502,203,202,0,0
54.244156118516415,1030,99,0,0
54.24493631922884,1142,156,0,0
54.25247971296623,1322,618,0,0
54.261315471831516,1177,537,0,0
54.264523766971784,574,3490,0,1
54.268282341655016,618,689,0,0
54.42105014557357,1423,112,0,0
54.42920050868381,1339,626,0,0
54.44197851177469,959,105,0,0
55.06847718003314,6,263,0,0
55.07216467737472,510,25,0,0
55.07260234318934,7982,210,1,0
55.146516169633756,1241,237,0,0
56.28196508406672,1139,90,0,0
56.3127979563186,916,246,0,0
56.350127157816004,284,769,0,0
56.351662491996265,1631,1340,0,1
56.35475439131707,1466,163,0,0
56.73373559896804,11,189,0,0
56.98462036879509,964,68,0,0
57.04999321454528,1675,83,0,0
57.05554226708454,298,145,0,0
57.057383730987205,70,291,1,0
57.05983395285168,556,480,0,0
57.06172325375303,444,255,0,0
57.128706969528885,914,383,0,0
57.13273393978327,1552,735,0,0
57.13990199269944,851,326,0,0
57.21679965057979,978,174,0,0
57.29010239679217,1157,306,0,0
57.31095097454501,541,199,0,0
57.35981034362884,8114,78,1,0
57.37861047310176,747,399,0,0
57.378994073343065,189,1350,0,1
57.394703692693454,405,243,0,0
57.40252879805584,345,437,0,0
