arrived_at,num_prefill_tokens,num_decode_tokens,prefill_inflated,decode_inflated
0.0,419,304,0,0
0.006343022408758812,1251,288,0,0
0.014241935539777057,157,344,0,0
0.014378619687380263,1326,733,0,0
0.674396564579725,1418,359,0,0
0.8522898770606128,262,287,0,0
0.8617020757861643,224,168,0,0
0.9465164836054496,813,767,0,0
0.9781834351183174,609,332,0,0
0.9841442463564292,1799,161,0,0
1.11162777392252,1706,370,0,0
1.1213240234599955,1580,352,0,0
1.1306724163987891,837,638,0,0
1.1343732524270926,619,333,0,0
1.1791983591748367,1278,646,0,0
1.1939958282099514,61,30,0,0
1.2476967241941082,6,227,0,0
1.2530541353157045,395,55,0,0
1.2763088513735985,17,767,0,0
1.2793380683775235,300,58,0,0
1.3764420328458808,346,273,0,0
1.4027250352126364,1118,244,0,0
1.437677684733833,693,117,0,0
1.4786894951592768,247,733,0,0
1.4810796000639126,1465,378,0,0
1.5674991783547203,681,221,0,0
2.6710164697037904,1452,10,0,0
2.671697578825622,1529,333,0,0
2.672265387546571,710,101,0,0
2.673155141270452,953,694,0,0
2.7702579251722717,7927,265,1,0
2.793600608178471,1077,416,0,0
2.949550872804738,1271,362,0,0
3.026083259218239,554,69,0,0
3.0535780313744603,921,263,0,0
3.085424565229559,749,33,0,0
3.0982744039843038,1089,429,0,0
3.200765167334657,1439,328,0,0
3.2026492109661984,915,172,0,0
3.2104103926860192,1514,420,0,0
3.239743885558719,259,285,0,0
3.9020275599640017,748,170,0,0
3.90593907206955,3565,25,0,0
3.9080239938520656,1920,541,0,0
3.91387303570164,1467,433,0,0
4.0392589957653415,1039,273,0,0
4.050536852752989,408,346,0,0
4.305608964645008,473,309,0,0
4.306035437407574,1532,529,0,0
4.478449434099256,121,180,0,0
4.621412274377805,925,262,0,0
4.62246936546548,188,219,0,0
4.647002288959289,97,564,0,0
4.852280775632829,4,257,0,0
4.873794484271756,95,21,0,0
5.007048220613828,1177,258,0,0
7.092260798953936,795,188,0,0
7.123470118937323,819,644,0,0
7.133769539427406,288,39,0,0
7.137629851155544,770,868,0,0
7.203585429598466,8149,43,1,0
7.215760520384806,2137,117,0,0
7.228381487867791,215,130,0,0
7.243000643547526,774,209,0,0
7.309194758673325,1313,322,0,0
7.311333404920557,1203,300,0,0
7.312179688544306,254,90,0,0
7.312318463575745,1210,342,0,0
7.510700382693742,134,19,0,0
7.531614804877001,1483,594,0,0
7.901462425510411,609,16,0,0
7.919186780151381,629,47,0,0
7.9232767653373735,10,96,0,0
7.970209286777215,242,174,0,0
7.985691246118177,332,108,0,0
7.987160094873757,1814,575,0,0
7.990233294048687,824,20,0,0
8.608185361325576,791,426,0,0
8.644840493445514,1162,548,0,0
8.686337667444176,1215,93,0,0
8.696716296794024,505,414,0,0
